owner,period,new_connections,test_drives,orders,deliveries
wenjun.luo,2025 年 7 月,1248.0,6.0,0.0,2.0
wenwen.wu,2025 年 7 月,400.0,80.0,0.0,5.0
wenya.yang,2025 年 7 月,0.0,60.0,0.0,4.0
wenyu.zhang4,2025 年 7 月,0.0,60.0,9.0,0.0
will.xiao,2025 年 7 月,120.0,0.0,0.0,0.0
william.tao,2025 年 7 月,120.0,0.0,18.0,6.0
wujun.ren,2025 年 7 月,224.0,50.0,1.0,2.0
xiang.zhou7,2025 年 7 月,0.0,24.0,0.0,0.0
xianmin.lan,2025 年 7 月,0.0,20.0,0.0,2.0
xiaojie.xiong,2025 年 7 月,160.0,80.0,0.0,0.0
xiaolong.yang8,2025 年 7 月,0.0,0.0,15.0,2.0
xiaoyi.weng2,2025 年 7 月,0.0,50.0,6.0,0.0
xin.li43,2025 年 7 月,0.0,0.0,5.0,0.0
xin.peng3,2025 年 7 月,0.0,26.0,0.0,0.0
xinhan.zhang2,2025 年 7 月,41.0,5.0,0.0,1.0
xiping.ceng,2025 年 7 月,80.0,0.0,0.0,0.0
xu.han9,2025 年 7 月,186.0,2.0,2.0,2.0
xucan.ye,2025 年 7 月,100.0,17.0,6.0,0.0
xumin.han,2025 年 7 月,900.0,160.0,21.0,6.0
xushen.huang,2025 年 7 月,900.0,0.0,2.0,4.0
yan.luo4,2025 年 7 月,10.0,0.0,0.0,0.0
yanan.tao,2025 年 7 月,3500.0,40.0,0.0,0.0
yanxin.li2,2025 年 7 月,810.0,0.0,8.0,8.0
yaoguo.chen,2025 年 7 月,388.0,40.0,0.0,1.0
yeqi.ma2,2025 年 7 月,372.0,124.0,0.0,0.0
yi.guo5,2025 年 7 月,0.0,120.0,12.0,0.0
yi.tian,2025 年 7 月,202.0,0.0,0.0,4.0
yilin.chen5,2025 年 7 月,270.0,20.0,0.0,2.0
yu.xue,2025 年 7 月,430.0,120.0,0.0,4.0
yuanzhuang.qiu,2025 年 7 月,0.0,2.0,0.0,0.0
yuchen.zeng,2025 年 7 月,0.0,0.0,0.0,4.0
yunbilige.wu,2025 年 7 月,1238.0,0.0,0.0,0.0
yushi.yang2,2025 年 7 月,20.0,0.0,0.0,0.0
yutong.guo,2025 年 7 月,640.0,0.0,4.0,0.0
zhangyuan.yang,2025 年 7 月,200.0,0.0,0.0,0.0
zhaohui.tan,2025 年 7 月,0.0,60.0,0.0,0.0
zhen.yao2,2025 年 7 月,1250.0,40.0,0.0,0.0
zhenfeng.chen,2025 年 7 月,0.0,0.0,8.0,0.0
zhengyuan.rui,2025 年 7 月,520.0,60.0,0.0,4.0
zhenhua.fu,2025 年 7 月,0.0,80.0,0.0,2.0
zhenxu.yao,2025 年 7 月,560.0,0.0,0.0,1.0
zhigang.sun,2025 年 7 月,100.0,0.0,0.0,3.0
zhilin.jiao,2025 年 7 月,416.0,0.0,0.0,0.0
zhiming.lu,2025 年 7 月,80.0,60.0,0.0,0.0
zhuqiang.chen,2025 年 7 月,120.0,15.0,0.0,4.0
zian.xie,2025 年 7 月,770.0,35.0,0.0,2.0
zilong.peng,2025 年 7 月,604.0,9.0,0.0,0.0
ziqi.zhang5,2025 年 7 月,300.0,0.0,0.0,2.0
ziwei.liu7,2025 年 7 月,250.0,0.0,0.0,2.0
