period,metric_type,total_value,count,unit
2025 年 7 月,新增建联量,37773.0,388,人
2025 年 7 月,试驾量,3080.0,119,组
2025 年 7 月,交付量,444.0,153,台
2025 年 7 月,锁单量,276.0,117,台
