owner,metric_type,total_value,metric_count,unit
pandapia.li,试驾量,6.0,2,组
peng.dai3,交付量,48.0,6,台
peng.dai3,新增建联量,1083.0,5,人
peng.dai3,锁单量,22.0,3,台
qiao.wang5,试驾量,60.0,1,组
qingyang.yi,交付量,4.0,4,台
qingyun.luo,交付量,10.0,4,台
qingyun.luo,试驾量,20.0,4,组
raine.wang,新增建联量,8.0,1,人
sanjiu.liu,新增建联量,50.0,1,人
sanjiu.liu,试驾量,40.0,2,组
shaobao.wang,试驾量,60.0,1,组
shengbo.chen,新增建联量,150.0,1,人
shengbo.chen,试驾量,60.0,1,组
shicheng.hua,锁单量,9.0,3,台
shuai.li12,交付量,5.0,1,台
shuai.li12,新增建联量,400.0,4,人
shuai.li12,试驾量,80.0,1,组
shuhang.liu2,新增建联量,200.0,1,人
shuo.qiu,交付量,1.0,1,台
shuo.qiu,新增建联量,295.0,9,人
shuo.qiu,试驾量,50.0,1,组
techang.hu,新增建联量,200.0,1,人
tian.gu,新增建联量,75.0,3,人
tianxiang.xia2,试驾量,5.0,1,组
weiming.zhou2,锁单量,2.0,2,台
wenbo.zhang7,交付量,1.0,1,台
wenbo.zhang7,新增建联量,400.0,4,人
wenjun.luo,交付量,2.0,2,台
wenjun.luo,新增建联量,1248.0,8,人
wenjun.luo,试驾量,6.0,2,组
wenwen.wu,交付量,5.0,1,台
wenwen.wu,新增建联量,400.0,4,人
wenwen.wu,试驾量,80.0,1,组
wenya.yang,交付量,4.0,2,台
wenya.yang,试驾量,60.0,2,组
wenyu.zhang4,试驾量,60.0,2,组
wenyu.zhang4,锁单量,9.0,6,台
will.xiao,新增建联量,120.0,2,人
william.tao,交付量,6.0,3,台
william.tao,新增建联量,120.0,1,人
william.tao,锁单量,18.0,7,台
wujun.ren,交付量,2.0,1,台
wujun.ren,新增建联量,224.0,4,人
wujun.ren,试驾量,50.0,1,组
wujun.ren,锁单量,1.0,1,台
xiang.zhou7,试驾量,24.0,2,组
xianmin.lan,交付量,2.0,2,台
xianmin.lan,试驾量,20.0,2,组
xiaojie.xiong,新增建联量,160.0,2,人
xiaojie.xiong,试驾量,80.0,2,组
xiaolong.yang8,交付量,2.0,2,台
xiaolong.yang8,锁单量,15.0,6,台
xiaoyi.weng2,试驾量,50.0,1,组
xiaoyi.weng2,锁单量,6.0,3,台
xin.li43,锁单量,5.0,3,台
xin.peng3,试驾量,26.0,1,组
xinhan.zhang2,交付量,1.0,1,台
xinhan.zhang2,新增建联量,41.0,3,人
xinhan.zhang2,试驾量,5.0,1,组
xiping.ceng,新增建联量,80.0,3,人
xu.han9,交付量,2.0,5,台
xu.han9,新增建联量,186.0,5,人
xu.han9,试驾量,2.0,2,组
xu.han9,锁单量,2.0,2,台
xucan.ye,新增建联量,100.0,2,人
xucan.ye,试驾量,17.0,2,组
xucan.ye,锁单量,6.0,2,台
xumin.han,交付量,6.0,3,台
xumin.han,新增建联量,900.0,6,人
xumin.han,试驾量,160.0,2,组
xumin.han,锁单量,21.0,9,台
xushen.huang,交付量,4.0,2,台
xushen.huang,新增建联量,900.0,8,人
xushen.huang,锁单量,2.0,1,台
yan.luo4,新增建联量,10.0,2,人
yanan.tao,新增建联量,3500.0,7,人
yanan.tao,试驾量,40.0,1,组
yanxin.li2,交付量,8.0,2,台
yanxin.li2,新增建联量,810.0,6,人
yanxin.li2,锁单量,8.0,2,台
yaoguo.chen,交付量,1.0,1,台
yaoguo.chen,新增建联量,388.0,4,人
yaoguo.chen,试驾量,40.0,1,组
yeqi.ma2,新增建联量,372.0,4,人
yeqi.ma2,试驾量,124.0,4,组
yi.guo5,试驾量,120.0,2,组
yi.guo5,锁单量,12.0,6,台
yi.tian,交付量,4.0,1,台
yi.tian,新增建联量,202.0,3,人
yilin.chen5,交付量,2.0,1,台
yilin.chen5,新增建联量,270.0,6,人
yilin.chen5,试驾量,20.0,1,组
yu.xue,交付量,4.0,2,台
yu.xue,新增建联量,430.0,6,人
yu.xue,试驾量,120.0,2,组
yuanzhuang.qiu,试驾量,2.0,2,组
yuchen.zeng,交付量,4.0,2,台
yunbilige.wu,新增建联量,1238.0,6,人
yushi.yang2,新增建联量,20.0,4,人
yutong.guo,新增建联量,640.0,8,人
yutong.guo,锁单量,4.0,2,台
zhangyuan.yang,新增建联量,200.0,1,人
zhaohui.tan,试驾量,60.0,1,组
zhen.yao2,新增建联量,1250.0,7,人
zhen.yao2,试驾量,40.0,1,组
zhenfeng.chen,锁单量,8.0,1,台
zhengyuan.rui,交付量,4.0,1,台
zhengyuan.rui,新增建联量,520.0,4,人
zhengyuan.rui,试驾量,60.0,1,组
zhenhua.fu,交付量,2.0,2,台
zhenhua.fu,试驾量,80.0,4,组
zhenxu.yao,交付量,1.0,1,台
zhenxu.yao,新增建联量,560.0,2,人
zhigang.sun,交付量,3.0,1,台
zhigang.sun,新增建联量,100.0,5,人
zhigang.sun,试驾量,0.0,1,组
zhilin.jiao,新增建联量,416.0,4,人
zhiming.lu,新增建联量,80.0,2,人
zhiming.lu,试驾量,60.0,2,组
zhuqiang.chen,交付量,4.0,4,台
zhuqiang.chen,新增建联量,120.0,4,人
zhuqiang.chen,试驾量,15.0,1,组
zian.xie,交付量,2.0,1,台
zian.xie,新增建联量,770.0,6,人
zian.xie,试驾量,35.0,1,组
zilong.peng,新增建联量,604.0,2,人
zilong.peng,试驾量,9.0,1,组
ziqi.zhang5,交付量,2.0,1,台
ziqi.zhang5,新增建联量,300.0,2,人
ziwei.liu7,交付量,2.0,1,台
ziwei.liu7,新增建联量,250.0,2,人
